split,record,ground_png,sensor_png,mask_png,target_png
train,UnscaledAccRecord893554_1001_1100_RSN1027,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1027.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1027.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1027.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1027.png
train,UnscaledAccRecord893554_1001_1100_RSN1029,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1029.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1029.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1029.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1029.png
train,UnscaledAccRecord893554_1001_1100_RSN1030,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1030.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1030.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1030.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1030.png
train,UnscaledAccRecord893554_1001_1100_RSN1031,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1031.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1031.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1031.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1031.png
train,UnscaledAccRecord893554_1001_1100_RSN1032,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1032.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1032.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1032.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1032.png
train,UnscaledAccRecord893554_1001_1100_RSN1033,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1033.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1033.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1033.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1033.png
train,UnscaledAccRecord893554_1001_1100_RSN1034,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1034.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1034.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1034.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1034.png
train,UnscaledAccRecord893554_1001_1100_RSN1035,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1035.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1035.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1035.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1035.png
train,UnscaledAccRecord893554_1001_1100_RSN1036,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1036.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1036.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1036.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1036.png
train,UnscaledAccRecord893554_1001_1100_RSN1037,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1037.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1037.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1037.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1037.png
train,UnscaledAccRecord893554_1001_1100_RSN1038,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1038.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1038.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1038.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1038.png
train,UnscaledAccRecord893554_1001_1100_RSN1039,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1039.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1039.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1039.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1039.png
train,UnscaledAccRecord893554_1001_1100_RSN1040,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1040.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1040.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1040.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1040.png
train,UnscaledAccRecord893554_1001_1100_RSN1042,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1042.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1042.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1042.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1042.png
train,UnscaledAccRecord893554_1001_1100_RSN1044,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1044.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1044.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1044.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1044.png
train,UnscaledAccRecord893554_1001_1100_RSN1046,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1046.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1046.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1046.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1046.png
train,UnscaledAccRecord893554_1001_1100_RSN1047,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1047.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1047.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1047.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1047.png
train,UnscaledAccRecord893554_1001_1100_RSN1049,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1049.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1049.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1049.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1049.png
train,UnscaledAccRecord893554_1001_1100_RSN1050,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1050.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1050.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1050.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1050.png
train,UnscaledAccRecord893554_1001_1100_RSN1051,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1051.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1051.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1051.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1051.png
train,UnscaledAccRecord893554_1001_1100_RSN1052,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1052.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1052.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1052.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1052.png
train,UnscaledAccRecord893554_1001_1100_RSN1053,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1053.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1053.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1053.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1053.png
train,UnscaledAccRecord893554_1001_1100_RSN1054,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1054.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1054.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1054.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1054.png
train,UnscaledAccRecord893554_1001_1100_RSN1056,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1056.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1056.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1056.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1056.png
train,UnscaledAccRecord893554_1001_1100_RSN1059,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1059.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1059.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1059.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1059.png
train,UnscaledAccRecord893554_1001_1100_RSN1060,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1060.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1060.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1060.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1060.png
train,UnscaledAccRecord893554_1001_1100_RSN1061,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1061.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1061.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1061.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1061.png
train,UnscaledAccRecord893554_1001_1100_RSN1062,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1062.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1062.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1062.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1062.png
train,UnscaledAccRecord893554_1001_1100_RSN1064,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1064.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1064.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1064.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1064.png
train,UnscaledAccRecord893554_1001_1100_RSN1066,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1066.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1066.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1066.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1066.png
train,UnscaledAccRecord893554_1001_1100_RSN1072,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1072.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1072.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1072.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1072.png
train,UnscaledAccRecord893554_1001_1100_RSN1073,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1073.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1073.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1073.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1073.png
train,UnscaledAccRecord893554_1001_1100_RSN1074,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1074.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1074.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1074.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1074.png
train,UnscaledAccRecord893554_1001_1100_RSN1075,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1075.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1075.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1075.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1075.png
train,UnscaledAccRecord893554_1001_1100_RSN1076,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1076.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1076.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1076.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1076.png
train,UnscaledAccRecord893554_1001_1100_RSN1077,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1077.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1077.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1077.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1077.png
train,UnscaledAccRecord893554_1001_1100_RSN1080,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1080.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1080.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1080.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1080.png
train,UnscaledAccRecord893554_1001_1100_RSN1082,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1082.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1082.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1082.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1082.png
train,UnscaledAccRecord893554_1001_1100_RSN1083,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1083.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1083.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1083.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1083.png
train,UnscaledAccRecord893554_1001_1100_RSN1084,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1084.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1084.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1084.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1084.png
train,UnscaledAccRecord893554_1001_1100_RSN1085,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1085.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1085.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1085.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1085.png
train,UnscaledAccRecord893554_1001_1100_RSN1087,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1087.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1087.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1087.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1087.png
train,UnscaledAccRecord893554_1001_1100_RSN1089,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1089.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1089.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1089.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1089.png
train,UnscaledAccRecord893554_1001_1100_RSN1090,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1090.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1090.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1090.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1090.png
train,UnscaledAccRecord893554_1001_1100_RSN1095,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1095.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1095.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1095.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1095.png
train,UnscaledAccRecord893554_1001_1100_RSN1096,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1096.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1096.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1096.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1096.png
train,UnscaledAccRecord893554_1001_1100_RSN1098,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1098.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1098.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1098.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1098.png
train,UnscaledAccRecord893554_1001_1100_RSN1099,dataset_rgb\train\ground\UnscaledAccRecord893554_1001_1100_RSN1099.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_1001_1100_RSN1099.png,dataset_rgb\train\mask\UnscaledAccRecord893554_1001_1100_RSN1099.png,dataset_rgb\train\target\UnscaledAccRecord893554_1001_1100_RSN1099.png
train,UnscaledAccRecord893554_102_204_RSN109,dataset_rgb\train\ground\UnscaledAccRecord893554_102_204_RSN109.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_102_204_RSN109.png,dataset_rgb\train\mask\UnscaledAccRecord893554_102_204_RSN109.png,dataset_rgb\train\target\UnscaledAccRecord893554_102_204_RSN109.png
train,UnscaledAccRecord893554_102_204_RSN111,dataset_rgb\train\ground\UnscaledAccRecord893554_102_204_RSN111.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_102_204_RSN111.png,dataset_rgb\train\mask\UnscaledAccRecord893554_102_204_RSN111.png,dataset_rgb\train\target\UnscaledAccRecord893554_102_204_RSN111.png
train,UnscaledAccRecord893554_102_204_RSN112,dataset_rgb\train\ground\UnscaledAccRecord893554_102_204_RSN112.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_102_204_RSN112.png,dataset_rgb\train\mask\UnscaledAccRecord893554_102_204_RSN112.png,dataset_rgb\train\target\UnscaledAccRecord893554_102_204_RSN112.png
train,UnscaledAccRecord893554_102_204_RSN113,dataset_rgb\train\ground\UnscaledAccRecord893554_102_204_RSN113.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_102_204_RSN113.png,dataset_rgb\train\mask\UnscaledAccRecord893554_102_204_RSN113.png,dataset_rgb\train\target\UnscaledAccRecord893554_102_204_RSN113.png
train,UnscaledAccRecord893554_102_204_RSN115,dataset_rgb\train\ground\UnscaledAccRecord893554_102_204_RSN115.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_102_204_RSN115.png,dataset_rgb\train\mask\UnscaledAccRecord893554_102_204_RSN115.png,dataset_rgb\train\target\UnscaledAccRecord893554_102_204_RSN115.png
train,UnscaledAccRecord893554_102_204_RSN116,dataset_rgb\train\ground\UnscaledAccRecord893554_102_204_RSN116.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_102_204_RSN116.png,dataset_rgb\train\mask\UnscaledAccRecord893554_102_204_RSN116.png,dataset_rgb\train\target\UnscaledAccRecord893554_102_204_RSN116.png
train,UnscaledAccRecord893554_102_204_RSN117,dataset_rgb\train\ground\UnscaledAccRecord893554_102_204_RSN117.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_102_204_RSN117.png,dataset_rgb\train\mask\UnscaledAccRecord893554_102_204_RSN117.png,dataset_rgb\train\target\UnscaledAccRecord893554_102_204_RSN117.png
train,UnscaledAccRecord893554_102_204_RSN119,dataset_rgb\train\ground\UnscaledAccRecord893554_102_204_RSN119.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_102_204_RSN119.png,dataset_rgb\train\mask\UnscaledAccRecord893554_102_204_RSN119.png,dataset_rgb\train\target\UnscaledAccRecord893554_102_204_RSN119.png
train,UnscaledAccRecord893554_102_204_RSN120,dataset_rgb\train\ground\UnscaledAccRecord893554_102_204_RSN120.png,dataset_rgb\train\sensor\UnscaledAccRecord893554_102_204_RSN120.png,dataset_rgb\train\mask\UnscaledAccRecord893554_102_204_RSN120.png,dataset_rgb\train\target\UnscaledAccRecord893554_102_204_RSN120.png
